Name      Value           Min             Max             Stderr          
A_1       -1.01832171e+00 -inf            inf             5.15515293e-02  
A_2       -1.01995579e+00 -inf            inf             4.67602658e-02  
A_3       -1.04449005e+00 -inf            inf             4.43666169e-02  
A_4       -1.06432690e+00 -inf            inf             4.58589688e-02  
n_1       6.53101678e+00  -inf            inf             8.82138195e-01  
n_2       1.04067115e+01  -inf            inf             1.48912209e+00  
n_3       1.43468333e+01  -inf            inf             2.16723142e+00  
n_4       1.83730575e+01  -inf            inf             2.91327459e+00  
kt_1      4.98546632e+01  0.00000000e+00  inf             7.43405915e+00  
kt_2      4.98546632e+01  -inf            inf             7.43405914e+00  
kt_3      4.98546632e+01  -inf            inf             7.43405914e+00  
kt_4      4.98546632e+01  -inf            inf             7.43405914e+00  
kd_1      9.63093114e-01  -inf            inf             3.52115257e-01  
kd_2      9.63093114e-01  -inf            inf             3.52115257e-01  
kd_3      9.63093114e-01  -inf            inf             3.52115257e-01  
kd_4      9.63093114e-01  -inf            inf             3.52115257e-01  
kc_1      1.08800162e+01  0.00000000e+00  inf             9.52015168e-01  
kc_2      1.08800162e+01  -inf            inf             9.52015167e-01  
kc_3      1.08800162e+01  -inf            inf             9.52015167e-01  
kc_4      1.08800162e+01  -inf            inf             9.52015167e-01  
kend_1    2.09315186e+00  0.00000000e+00  inf             2.31481883e-01  
kend_2    2.09315186e+00  -inf            inf             2.31481884e-01  
kend_3    2.09315186e+00  -inf            inf             2.31481884e-01  
kend_4    2.09315186e+00  -inf            inf             2.31481884e-01  
r_1       1.07127183e+00  0.00000000e+00  inf             2.04297412e-01  
r_2       1.07127183e+00  -inf            inf             2.04297412e-01  
r_3       1.07127183e+00  -inf            inf             2.04297412e-01  
r_4       1.07127183e+00  -inf            inf             2.04297412e-01  
C_1       5.56375490e-02  0.00000000e+00  inf             7.87662530e-03  
C_2       5.56375490e-02  -inf            inf             7.87662529e-03  
C_3       5.56375490e-02  -inf            inf             7.87662529e-03  
C_4       5.56375490e-02  -inf            inf             7.87662529e-03  
Chi2      7.49553359e-02  
