Name      Value           Min             Max             Stderr          
A_1       -1.01812772e+00 -inf            inf             5.16146725e-02  
A_2       -1.01983188e+00 -inf            inf             4.68073314e-02  
A_3       -1.04444542e+00 -inf            inf             4.43976163e-02  
A_4       -1.06437676e+00 -inf            inf             4.58737520e-02  
n_1       6.53429977e+00  -inf            inf             8.81186465e-01  
n_2       1.04127800e+01  -inf            inf             1.48755522e+00  
n_3       1.43560747e+01  -inf            inf             2.16497112e+00  
n_4       1.83860187e+01  -inf            inf             2.91017497e+00  
kt_1      4.98853026e+01  0.00000000e+00  inf             7.42617907e+00  
kt_2      4.98853026e+01  -inf            inf             7.42617906e+00  
kt_3      4.98853026e+01  -inf            inf             7.42617906e+00  
kt_4      4.98853026e+01  -inf            inf             7.42617906e+00  
kd_1      9.65122042e-01  -inf            inf             3.52367433e-01  
kd_2      9.65122042e-01  -inf            inf             3.52367432e-01  
kd_3      9.65122042e-01  -inf            inf             3.52367432e-01  
kd_4      9.65122042e-01  -inf            inf             3.52367432e-01  
kc_1      1.08755252e+01  0.00000000e+00  inf             9.53318939e-01  
kc_2      1.08755252e+01  -inf            inf             9.53318938e-01  
kc_3      1.08755252e+01  -inf            inf             9.53318938e-01  
kc_4      1.08755252e+01  -inf            inf             9.53318938e-01  
kend_1    2.09247825e+00  0.00000000e+00  inf             2.31449704e-01  
kend_2    2.09247825e+00  -inf            inf             2.31449703e-01  
kend_3    2.09247825e+00  -inf            inf             2.31449703e-01  
kend_4    2.09247825e+00  -inf            inf             2.31449703e-01  
r_1       1.07053195e+00  0.00000000e+00  inf             2.04432994e-01  
r_2       1.07053195e+00  -inf            inf             2.04432995e-01  
r_3       1.07053195e+00  -inf            inf             2.04432995e-01  
r_4       1.07053195e+00  -inf            inf             2.04432995e-01  
C_1       5.56195496e-02  0.00000000e+00  inf             7.87322374e-03  
C_2       5.56195496e-02  -inf            inf             7.87322375e-03  
C_3       5.56195496e-02  -inf            inf             7.87322375e-03  
C_4       5.56195496e-02  -inf            inf             7.87322375e-03  
Chi2      7.49553360e-02  
