Name      Value           Min             Max             Stderr          
A_1       -1.06982500e+00 -inf            inf             4.73748865e-02  
A_2       -1.05516296e+00 -inf            inf             4.87535303e-02  
A_3       -1.06125647e+00 -inf            inf             4.99225750e-02  
A_4       -1.06151664e+00 -inf            inf             5.02781328e-02  
n_1       5.75841498e+00  -inf            inf             4.70313448e-01  
n_2       9.01034964e+00  -inf            inf             7.02762961e-01  
n_3       1.22372034e+01  -inf            inf             9.38593119e-01  
n_4       1.55033556e+01  -inf            inf             1.18356173e+00  
kt_1      4.28263485e+01  0.00000000e+00  inf             3.42291006e+00  
kt_2      4.28263485e+01  -inf            inf             3.42291006e+00  
kt_3      4.28263485e+01  -inf            inf             3.42291006e+00  
kt_4      4.28263485e+01  -inf            inf             3.42291006e+00  
kd_1      5.00000000e-01  -inf            inf             0.00000000e+00  
kd_2      5.00000000e-01  -inf            inf             0.00000000e+00  
kd_3      5.00000000e-01  -inf            inf             0.00000000e+00  
kd_4      5.00000000e-01  -inf            inf             0.00000000e+00  
kc_1      1.19966846e+01  0.00000000e+00  inf             7.14154573e-01  
kc_2      1.19966846e+01  -inf            inf             7.14154572e-01  
kc_3      1.19966846e+01  -inf            inf             7.14154572e-01  
kc_4      1.19966846e+01  -inf            inf             7.14154572e-01  
kend_1    2.20870271e+00  0.00000000e+00  inf             2.03301331e-01  
kend_2    2.20870271e+00  -inf            inf             2.03301331e-01  
kend_3    2.20870271e+00  -inf            inf             2.03301331e-01  
kend_4    2.20870271e+00  -inf            inf             2.03301331e-01  
r_1       1.28579239e+00  0.00000000e+00  inf             1.66347394e-01  
r_2       1.28579239e+00  -inf            inf             1.66347394e-01  
r_3       1.28579239e+00  -inf            inf             1.66347394e-01  
r_4       1.28579239e+00  -inf            inf             1.66347394e-01  
C_1       5.75135338e-02  0.00000000e+00  inf             7.15538198e-03  
C_2       5.75135338e-02  -inf            inf             7.15538199e-03  
C_3       5.75135338e-02  -inf            inf             7.15538199e-03  
C_4       5.75135338e-02  -inf            inf             7.15538199e-03  
Chi2      7.50894697e-02  
